what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1446619278583
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1446619278584
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1446619278586
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1446619278612
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1446619278612
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1446619278632
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1446619278641
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1446619278661
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1446619278708
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1446619278774
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1446619278799
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1446619278799
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1446619278826
os,sysinfo,,,"win32",1446619278837
arch,sysinfo,,,"x86",1446619278837
ws,sysinfo,,,"win32",1446619278837
locale,sysinfo,,,"es_AR",1446619278837
processors,sysinfo,,,"2",1446619278838
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1446619278838
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1446619278838
java.specification.name,sysinfo,,,"Java Platform API Specification",1446619278838
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446619278838
java.specification.version,sysinfo,,,"1.6",1446619278838
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446619278838
java.version,sysinfo,,,"1.6.0_13",1446619278838
java.vm.info,sysinfo,,,"mixed mode",1446619278838
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446619278838
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446619278838
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446619278838
java.vm.specification.version,sysinfo,,,"1.0",1446619278838
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446619278838
java.vm.version,sysinfo,,,"11.3-b02",1446619278838
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446619279471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446619335734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446619346757
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446619347366
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446619347418
started,bundle,org.eclipselabs.jsdt.jquery.api,1.6.0,"org.eclipselabs.jsdt.jquery.api",1446619349326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446619360588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446619391788
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446619396547
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446619408899
